"LOCATION","Country","INDICATOR","Indicator","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1991","1991",27.7218154779186,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1992","1992",26.1995909743581,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1993","1993",26.169094098981,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1994","1994",25.4561344070509,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1995","1995",25.3402262814921,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1996","1996",27.2591040290769,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1997","1997",28.8029131796296,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1998","1998",26.590476609471,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","1999","1999",27.918282977739,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2000","2000",26.3546243250795,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2001","2001",24.4603615705288,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2002","2002",25.1161855318525,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2003","2003",25.8117113804711,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2004","2004",28.5666444410253,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2005","2005",27.0612678786849,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2006","2006",26.9251671242306,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2007","2007",24.0976155214718,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2008","2008",23.3010625311296,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2009","2009",23.4324233283259,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2010","2010",25.3004857895539,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2011","2011",23.2827702747972,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2012","2012",22.4272426868263,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2013","2013",23.7283312014827,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2014","2014",22.5623087650667,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2015","2015",19.6992156542418,,
"AUS","Australia","MEATCONSUMP","Meat consumption","BEEF","Beef and veal","KG_CAP","Kilograms/capita","A","Annual","2016","2016",22.0510261838141,,
