Country,Year,Consumption
Australia,1991,83.4374133834259
Australia,1992,81.22254961838848
Australia,1993,81.6479051733333
Australia,1994,83.4127015944378
Australia,1995,79.4288965122536
Australia,1996,80.43330896227491
Australia,1997,83.7253630506092
Australia,1998,84.3024479816774
Australia,1999,85.5928990030114
Australia,2000,87.0223391266279
Australia,2001,83.330461712118
Australia,2002,86.7277145571126
Australia,2003,86.17815085849159
Australia,2004,90.5056989829463
Australia,2005,91.1975099692704
Australia,2006,92.2565101875025
Australia,2007,90.9990429704039
Australia,2008,86.7568859890162
Australia,2009,87.17370261029629
Australia,2010,92.05821507760355
Australia,2011,90.43918022065428
Australia,2012,91.98230317056588
Australia,2013,92.56678853711738
Australia,2014,91.45885904421121
Australia,2015,92.00030663661467
Australia,2016,94.68428133563677
Australia,2017,94.61153196483062
Australia,2018,94.99905360565086
Australia,2019,95.10693222467484
Australia,2020,95.36866629892032
Australia,2021,95.3638341101979
Australia,2022,95.32827562390293
Australia,2023,95.32147797456885
Australia,2024,95.3063665261483
Australia,2025,95.30580353240282
Australia,2026,95.31429791660304
Australia,1990,40.629354654820105
Canada,1991,71.21825646240592
Canada,1992,72.56115700436096
Canada,1993,71.49858271287735
Canada,1994,74.13838112263201
Canada,1995,73.49570327498675
Canada,1996,71.6103806325663
Canada,1997,71.65575733220591
Canada,1998,75.1229899020565
Canada,1999,77.83927459292201
Canada,2000,77.86397278370657
Canada,2001,78.37852232545973
Canada,2002,77.73590394601585
Canada,2003,77.02114246304978
Canada,2004,77.46805009069642
Canada,2005,74.13951626512002
Canada,2006,74.58922999994546
Canada,2007,76.43845204263495
Canada,2008,74.92580283638979
Canada,2009,73.17940971700261
Canada,2010,71.30828217656001
Canada,2011,69.24251610764254
Canada,2012,69.6748116292564
Canada,2013,68.71043646103215
Canada,2014,67.89675556311944
Canada,2015,69.43215533019858
Canada,2016,70.06310437922883
Canada,2017,69.99196886431707
Canada,2018,69.1530919532083
Canada,2019,70.67256097455967
Canada,2020,70.60051132575667
Canada,2021,70.10988332139593
Canada,2022,69.44320968943043
Canada,2023,69.91215504024235
Canada,2024,70.90918427433868
Canada,2025,70.7221249613822
Canada,2026,70.57086766089338
Canada,1990,71.99417133123474
Japan,1991,32.58452838779526
Japan,1992,33.21838476475373
Japan,1993,33.3550642710723
Japan,1994,34.04391994554889
Japan,1995,34.783447122831916
Japan,1996,35.01742951849861
Japan,1997,33.823540208254464
Japan,1998,33.63810983586029
Japan,1999,33.88981370949187
