,Country,Year,Production,Consumption
0,Algeria,1991,17.57,14.37433061638275
1,Algeria,1992,17.810000000000006,14.689716168547655
2,Algeria,1993,18.3,15.11625647178901
3,Algeria,1994,18.2,15.278888908085158
4,Algeria,1995,18.17,14.980470033870391
5,Algeria,1996,18.22,15.273440899991293
6,Algeria,1997,17.21,14.496254649066572
7,Algeria,1998,18.34,15.457753071509009
8,Algeria,1999,18.03,15.102765828472814
9,Algeria,2000,18.37,15.37984957506592
10,Algeria,2001,16.83,14.239171999523904
11,Algeria,2002,17.58,15.008257167230544
12,Algeria,2003,18.77,15.692598431419276
13,Algeria,2004,20.74,17.233025832169822
14,Algeria,2005,20.91,17.427615637781663
15,Algeria,2006,19.6,16.405066411688757
16,Algeria,2007,19.44,16.318968232124426
17,Algeria,2008,18.71,15.7283346154929
18,Algeria,2009,19.35,16.244376343682053
19,Algeria,2010,18.35,16.13545949401933
20,Algeria,2011,19.85,16.80577975457232
21,Algeria,2012,21.01,17.760954159825612
22,Algeria,2013,21.07,17.791795661986264
23,Argentina,1991,87.03,67.99564986105361
24,Argentina,1992,90.36,72.47054290612242
25,Argentina,1993,98.57,76.57587575033908
26,Argentina,1994,97.17,74.0550240379628
27,Argentina,1995,90.88,70.96751004135045
28,Argentina,1996,87.78,69.77829877227245
29,Argentina,1997,89.21,70.90976844720079
30,Argentina,1998,93.25,71.47523640947794
31,Argentina,1999,99.87,76.02291331940829
32,Argentina,2000,98.76000000000002,74.57078477766291
33,Argentina,2001,94.18,65.41384070202227
34,Argentina,2002,79.66999999999999,62.26405388968286
35,Argentina,2003,83.44999999999997,65.8299594388256
36,Argentina,2004,87.26,70.21725620393191
37,Argentina,2005,89.78999999999998,72.9348481396642
38,Argentina,2006,93.79,76.14223845898725
39,Argentina,2007,94.94,81.8658232891585
40,Argentina,2008,97.32,83.0763107348564
41,Argentina,2009,99.65,84.26967047639158
42,Argentina,2010,100.69,80.495852622052
43,Argentina,2011,105.34,80.28220564545248
44,Argentina,2012,106.27,80.9905742530208
45,Argentina,2013,107.25,84.66433180222697
46,Australia,1991,112.12,83.4374133834259
47,Australia,1992,112.14,81.22254961838848
48,Australia,1993,110.81,81.6479051733333
49,Australia,1994,111.69,83.4127015944378
50,Australia,1995,108.77,79.42889651225359
51,Australia,1996,107.63,80.43330896227491
52,Australia,1997,105.89,83.7253630506092
53,Australia,1998,110.71,84.3024479816774
54,Australia,1999,110.37,85.59289900301141
55,Australia,2000,111.06,87.0223391266279
56,Australia,2001,109.96,83.330461712118
57,Australia,2002,110.72,86.72771455711259
58,Australia,2003,117.88,86.17815085849159
59,Australia,2004,107.74,90.5056989829463
60,Australia,2005,117.28,91.1975099692704
61,Australia,2006,111.8,92.2565101875025
62,Australia,2007,122.1,90.9990429704039
63,Australia,2008,112.38,86.75688598901621
64,Australia,2009,112.28,87.17370261029629
65,Australia,2010,111.95,92.05821507760356
66,Australia,2011,121.11,90.43918022065428
67,Australia,2012,117.33,91.98230317056587
68,Australia,2013,116.22,92.56678853711736
69,Bangladesh,1991,2.95,2.2525185789876083
70,Bangladesh,1992,3.01,2.294133681408693
71,Bangladesh,1993,3.09,2.365431165697818
72,Bangladesh,1994,3.15,2.4090340150444685
73,Bangladesh,1995,3.22,2.4529725604053843
74,Bangladesh,1996,3.18,2.6263958527155613
75,Bangladesh,1997,3.3400000000000003,2.7376290243967767
76,Bangladesh,1998,3.3000000000000003,2.590799384447503
77,Bangladesh,1999,3.3600000000000003,2.6001535438657752
78,Bangladesh,2000,3.39,2.57402624482464
79,Bangladesh,2001,3.4200000000000004,2.5430564347611977
80,Bangladesh,2002,3.5000000000000004,2.5824271242587638
81,Bangladesh,2003,3.5800000000000005,2.7451630845763035
82,Bangladesh,2004,3.62,2.836334283534973
83,Bangladesh,2005,3.68,2.9093971061914328
84,Bangladesh,2006,3.78,3.0095440310236365
85,Bangladesh,2007,3.88,3.0791444662077008
86,Bangladesh,2008,3.9,3.1016014114301136
87,Bangladesh,2009,3.9700000000000006,3.16598786411523
88,Bangladesh,2010,4.03,3.2149480433498154
89,Bangladesh,2011,4.11,3.2748480984495925
90,Bangladesh,2012,4.1099999999999985,3.2834512431260165
91,Bangladesh,2013,4.1099999999999985,3.287405512397472
92,Brazil,1991,52.64,38.87844354429415
93,Brazil,1992,53.68,39.39559288930378
94,Brazil,1993,55.3,40.70682882102444
95,Brazil,1994,60.56,44.22203672965802
96,Brazil,1995,69.02,50.08500874775566
97,Brazil,1996,70.25,51.795375606783686
98,Brazil,1997,71.93,52.45189860500313
99,Brazil,1998,72.22,53.602723268241036
100,Brazil,1999,76.42999999999998,55.857226953636534
101,Brazil,2000,78.98,61.4445306488684
102,Brazil,2001,76.38000000000002,62.52986710077196
103,Brazil,2002,78.69,64.58564779461743
104,Brazil,2003,79.67,62.310538990166314
105,Brazil,2004,81.21000000000002,62.760876192385
106,Brazil,2005,74.52000000000002,64.07667477171492
107,Brazil,2006,77.9,65.29422549293469
108,Brazil,2007,80.53999999999998,69.1140470665749
109,Brazil,2008,86.19,71.37827783289605
110,Brazil,2009,85.22,72.47211734861375
111,Brazil,2010,89.46000000000002,75.35539267589589
112,Brazil,2011,92.98,76.89828612862058
113,Brazil,2012,93.53,76.2914610449887
114,Brazil,2013,97.58,75.63286268641961
115,Canada,1991,91.0,71.21825646240592
116,Canada,1992,92.71,72.56115700436095
117,Canada,1993,91.41,71.49858271287734
118,Canada,1994,94.94,74.13838112263201
119,Canada,1995,93.73,73.49570327498675
120,Canada,1996,91.85,71.6103806325663
121,Canada,1997,92.84,71.65575733220591
122,Canada,1998,98.05,75.1229899020565
123,Canada,1999,102.05,77.83927459292202
124,Canada,2000,101.28,77.86397278370656
125,Canada,2001,101.28,78.37852232545974
126,Canada,2002,100.75,77.73590394601584
127,Canada,2003,99.19,77.02114246304978
128,Canada,2004,99.71,77.46805009069642
129,Canada,2005,95.39,74.13951626512002
130,Canada,2006,95.52,74.58922999994545
131,Canada,2007,98.79,76.43845204263495
132,Canada,2008,96.35,74.92580283638979
133,Canada,2009,94.3,73.17940971700261
134,Canada,2010,92.03,71.30828217656001
135,Canada,2011,91.89,69.24251610764253
136,Canada,2012,92.47,69.6748116292564
137,Canada,2013,90.76,68.71043646103215
138,Chile,1991,38.18,29.37386036445875
139,Chile,1992,42.75,33.776223611276194
140,Chile,1993,47.97,38.03412228166997
141,Chile,1994,52.94,40.969402344866964
142,Chile,1995,56.37,45.40090559455102
143,Chile,1996,58.85,47.29223771570195
144,Chile,1997,60.94000000000001,48.98839049010997
145,Chile,1998,62.47000000000001,50.490208399520476
146,Chile,1999,62.1,50.4630024645917
147,Chile,2000,64.99000000000001,53.041484886140424
148,Chile,2001,65.59,53.24636258156765
149,Chile,2002,64.74000000000001,52.72330173597821
150,Chile,2003,67.0,54.13855824205449
151,Chile,2004,69.17,55.865851574047014
152,Chile,2005,70.37,56.56608830328453
153,Chile,2006,75.39,60.889216221645015
154,Chile,2007,77.78,63.33833453807697
155,Chile,2008,77.6,62.15089227785939
156,Chile,2009,73.94,59.89675554784439
157,Chile,2010,77.26,62.51524385764372
158,Chile,2011,79.52,64.73809262201547
159,Chile,2012,81.78999999999998,66.16119674910456
160,Chile,2013,85.7,69.16202534958511
161,Colombia,1991,35.48999999999999,26.604408139699014
162,Colombia,1992,33.16,25.130854126193647
163,Colombia,1993,34.06,25.934952094436888
164,Colombia,1994,36.19000000000001,27.74529553649648
