Country,Year,Production
Afghanistan,1991,19.64
Afghanistan,1992,17.810000000000002
Afghanistan,1993,16.840000000000003
Afghanistan,1994,16.560000000000002
Afghanistan,1995,16.43
Afghanistan,1996,16.84
Afghanistan,1997,17.849999999999998
Afghanistan,1998,18.99
Afghanistan,1999,18.279999999999998
Afghanistan,2000,15.5
Afghanistan,2001,12.989999999999998
Afghanistan,2002,13.709999999999997
Afghanistan,2003,12.89
Afghanistan,2004,13.69
Afghanistan,2005,14.0
Afghanistan,2006,11.220000000000002
Afghanistan,2007,10.709999999999999
Afghanistan,2008,12.14
Afghanistan,2009,11.86
Afghanistan,2010,13.0
Afghanistan,2011,13.370000000000001
Afghanistan,2012,12.290000000000001
Afghanistan,2013,12.34
Albania,1991,20.61
Albania,1992,20.07
Albania,1993,22.119999999999997
Albania,1994,24.939999999999998
Albania,1995,25.869999999999997
Albania,1996,27.080000000000002
Albania,1997,21.830000000000005
Albania,1998,23.580000000000005
Albania,1999,31.58
Albania,2000,26.919999999999998
Albania,2001,31.47
Albania,2002,37.790000000000006
Albania,2003,37.89
Albania,2004,39.64
Albania,2005,40.56
Albania,2006,44.5
Albania,2007,48.78999999999999
Albania,2008,53.52
Albania,2009,55.73
Albania,2010,59.0
Albania,2011,58.620000000000005
Albania,2012,61.489999999999995
Albania,2013,61.97
Algeria,1991,17.57
Algeria,1992,17.810000000000002
Algeria,1993,18.299999999999997
Algeria,1994,18.2
Algeria,1995,18.17
Algeria,1996,18.22
Algeria,1997,17.21
Algeria,1998,18.34
Algeria,1999,18.03
Algeria,2000,18.37
Algeria,2001,16.83
Algeria,2002,17.58
Algeria,2003,18.77
Algeria,2004,20.740000000000002
Algeria,2005,20.91
Algeria,2006,19.6
Algeria,2007,19.439999999999998
Algeria,2008,18.71
Algeria,2009,19.35
Algeria,2010,18.35
Algeria,2011,19.85
Algeria,2012,21.01
Algeria,2013,21.07
Angola,1991,13.19
Angola,1992,14.22
Angola,1993,12.61
Angola,1994,11.23
Angola,1995,10.700000000000001
Angola,1996,11.97
Angola,1997,13.78
Angola,1998,14.77
Angola,1999,13.920000000000002
Angola,2000,16.819999999999997
Angola,2001,16.34
Angola,2002,20.03
Angola,2003,21.720000000000002
Angola,2004,19.14
Angola,2005,21.78
Angola,2006,23.370000000000005
Angola,2007,24.729999999999997
Angola,2008,26.869999999999997
Angola,2009,24.92
Angola,2010,28.15
Angola,2011,31.860000000000003
Angola,2012,34.85
Angola,2013,36.14
Antigua and Barbuda,1991,82.17
Antigua and Barbuda,1992,75.87
Antigua and Barbuda,1993,71.02
Antigua and Barbuda,1994,73.44999999999999
Antigua and Barbuda,1995,68.84
Antigua and Barbuda,1996,78.33
Antigua and Barbuda,1997,77.5
Antigua and Barbuda,1998,76.77
Antigua and Barbuda,1999,75.44
Antigua and Barbuda,2000,68.97
Antigua and Barbuda,2001,68.38
Antigua and Barbuda,2002,67.83
Antigua and Barbuda,2003,67.59
Antigua and Barbuda,2004,68.36
Antigua and Barbuda,2005,80.1
Antigua and Barbuda,2006,78.61
Antigua and Barbuda,2007,82.0
Antigua and Barbuda,2008,84.33
Antigua and Barbuda,2009,81.94
Antigua and Barbuda,2010,81.62
Antigua and Barbuda,2011,83.62
Antigua and Barbuda,2012,79.65
Antigua and Barbuda,2013,85.05
Argentina,1991,87.03
Argentina,1992,90.36
Argentina,1993,98.57
Argentina,1994,97.17
Argentina,1995,90.88
Argentina,1996,87.78
Argentina,1997,89.21
Argentina,1998,93.25
Argentina,1999,99.87
Argentina,2000,98.76000000000002
Argentina,2001,94.17999999999999
Argentina,2002,79.66999999999999
Argentina,2003,83.44999999999999
Argentina,2004,87.26
Argentina,2005,89.78999999999999
Argentina,2006,93.79
Argentina,2007,94.94
Argentina,2008,97.32
Argentina,2009,99.65
Argentina,2010,100.69
Argentina,2011,105.34
Argentina,2012,106.27000000000001
Argentina,2013,107.25
Armenia,1991,0.0
Armenia,1992,18.58
Armenia,1993,18.09
Armenia,1994,19.76
Armenia,1995,22.909999999999997
Armenia,1996,18.83
Armenia,1997,20.759999999999998
Armenia,1998,21.29
Armenia,1999,20.11
Armenia,2000,21.2
Armenia,2001,21.89
Armenia,2002,23.14
Armenia,2003,25.130000000000003
Armenia,2004,26.77
Armenia,2005,29.14
Armenia,2006,30.23
Armenia,2007,36.96
Armenia,2008,48.48
Armenia,2009,40.46
Armenia,2010,40.76
Armenia,2011,42.400000000000006
Armenia,2012,44.78
Armenia,2013,45.7
Australia,1991,112.12
Australia,1992,112.14
Australia,1993,110.81
Australia,1994,111.69
Australia,1995,108.77
Australia,1996,107.63000000000001
Australia,1997,105.89
Australia,1998,110.71
Australia,1999,110.37
Australia,2000,111.06
Australia,2001,109.96000000000001
Australia,2002,110.72
Australia,2003,117.88
Australia,2004,107.74000000000001
Australia,2005,117.28
Australia,2006,111.8
Australia,2007,122.1
Australia,2008,112.38000000000001
Australia,2009,112.28
Australia,2010,111.94999999999999
Australia,2011,121.10999999999999
Australia,2012,117.33
Australia,2013,116.22
Austria,1991,106.7
Austria,1992,109.71000000000001
Austria,1993,105.94
Austria,1994,110.19
Austria,1995,94.64000000000001
Austria,1996,98.96000000000001
Austria,1997,96.48
Austria,1998,96.29
Austria,1999,94.47
Austria,2000,99.24
Austria,2001,94.78
Austria,2002,94.14
Austria,2003,92.11
Austria,2004,95.19
Austria,2005,94.13
Austria,2006,91.19
Austria,2007,93.43
Austria,2008,88.89
Austria,2009,91.91
Austria,2010,92.81
Austria,2011,91.53999999999999
Austria,2012,87.52000000000001
Austria,2013,90.87
Azerbaijan,1991,0.0
Azerbaijan,1992,18.34
Azerbaijan,1993,15.55
Azerbaijan,1994,11.59
Azerbaijan,1995,13.5
Azerbaijan,1996,16.0
Azerbaijan,1997,15.04
Azerbaijan,1998,18.68
Azerbaijan,1999,17.6
Azerbaijan,2000,16.35
Azerbaijan,2001,15.600000000000001
Azerbaijan,2002,16.07
Azerbaijan,2003,17.37
Azerbaijan,2004,18.1
Azerbaijan,2005,19.18
Azerbaijan,2006,19.98
Azerbaijan,2007,21.330000000000002
Azerbaijan,2008,21.97
Azerbaijan,2009,27.43
Azerbaijan,2010,29.819999999999997
Azerbaijan,2011,31.020000000000003
Azerbaijan,2012,30.94
Azerbaijan,2013,31.099999999999998
Bahamas,1991,104.53999999999999
Bahamas,1992,92.67
Bahamas,1993,89.66
Bahamas,1994,98.05000000000001
Bahamas,1995,89.95
Bahamas,1996,87.64
Bahamas,1997,92.28999999999999
Bahamas,1998,95.44999999999999
Bahamas,1999,103.15
Bahamas,2000,107.17
Bahamas,2001,107.97
Bahamas,2002,115.47999999999999
Bahamas,2003,103.94999999999999
Bahamas,2004,100.52000000000001
Bahamas,2005,101.91
Bahamas,2006,104.24000000000001
Bahamas,2007,103.38
Bahamas,2008,105.53
Bahamas,2009,111.38
Bahamas,2010,108.3
Bahamas,2011,104.28
Bahamas,2012,113.4
Bahamas,2013,104.19
Bangladesh,1991,2.95
Bangladesh,1992,3.0100000000000002
Bangladesh,1993,3.09
Bangladesh,1994,3.15
Bangladesh,1995,3.22
Bangladesh,1996,3.18
Bangladesh,1997,3.3400000000000003
Bangladesh,1998,3.3000000000000003
Bangladesh,1999,3.3600000000000003
Bangladesh,2000,3.39
Bangladesh,2001,3.4200000000000004
Bangladesh,2002,3.5000000000000004
Bangladesh,2003,3.5800000000000005
Bangladesh,2004,3.62
Bangladesh,2005,3.68
Bangladesh,2006,3.7800000000000002
Bangladesh,2007,3.88
Bangladesh,2008,3.9000000000000004
Bangladesh,2009,3.9700000000000006
Bangladesh,2010,4.03
Bangladesh,2011,4.11
Bangladesh,2012,4.109999999999999
Bangladesh,2013,4.109999999999999
Barbados,1991,92.23
Barbados,1992,78.57
Barbados,1993,74.98
Barbados,1994,77.75999999999999
Barbados,1995,76.34
Barbados,1996,77.56
Barbados,1997,79.5
Barbados,1998,81.29
Barbados,1999,81.1
Barbados,2000,69.64
Barbados,2001,67.15
Barbados,2002,65.81
Barbados,2003,64.08
Barbados,2004,63.93
Barbados,2005,75.82
Barbados,2006,69.53999999999999
Barbados,2007,77.05000000000001
Barbados,2008,69.82
Barbados,2009,69.84
Barbados,2010,70.18
Barbados,2011,68.53999999999999
Barbados,2012,68.36
Barbados,2013,68.13
Belarus,1991,0.0
Belarus,1992,78.94
Belarus,1993,73.68
Belarus,1994,64.71
Belarus,1995,59.879999999999995
Belarus,1996,59.5
Belarus,1997,60.9
Belarus,1998,64.06
Belarus,1999,64.12
Belarus,2000,59.32999999999999
Belarus,2001,59.370000000000005
Belarus,2002,58.38
Belarus,2003,59.39
Belarus,2004,59.019999999999996
Belarus,2005,61.89
Belarus,2006,68.8
Belarus,2007,73.28
Belarus,2008,77.48
Belarus,2009,79.33000000000001
Belarus,2010,83.61
Belarus,2011,87.19
Belarus,2012,88.75
Belarus,2013,89.09
Belgium,1991,0.0
Belgium,1992,0.0
Belgium,1993,0.0
Belgium,1994,0.0
Belgium,1995,0.0
Belgium,1996,0.0
Belgium,1997,0.0
Belgium,1998,0.0
Belgium,1999,0.0
Belgium,2000,81.41
Belgium,2001,86.29
Belgium,2002,84.23
Belgium,2003,79.82
Belgium,2004,78.47
Belgium,2005,81.75
Belgium,2006,78.39999999999999
Belgium,2007,82.92
Belgium,2008,68.59
Belgium,2009,66.33999999999999
Belgium,2010,68.89
Belgium,2011,66.69
Belgium,2012,72.31
Belgium,2013,69.94
Belgium-Luxembourg,1991,95.39999999999999
Belgium-Luxembourg,1992,95.93
Belgium-Luxembourg,1993,98.61
Belgium-Luxembourg,1994,89.67999999999999
Belgium-Luxembourg,1995,89.13
Belgium-Luxembourg,1996,88.05000000000001
Belgium-Luxembourg,1997,79.94
Belgium-Luxembourg,1998,77.63
Belgium-Luxembourg,1999,84.52
